timestamp,elapsed_s,producer_started,desired_replicas,ready_replicas,available_replicas,pending_pods,unschedulable_pods,pod_restarts,all_nodes_ready,input_visible,input_inflight,result_visible,result_inflight
2026-08-31T18:53:12.040+00:00,4.276522141000896,0,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T18:53:14.852+00:00,7.0888297890014655,1,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T18:53:19.821+00:00,12.057461758999125,1,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T18:53:24.790+00:00,17.02807401500104,1,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T18:53:29.783+00:00,22.020454861998587,1,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T18:53:34.919+00:00,27.156722004001494,1,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T18:53:39.936+00:00,32.17367158400157,1,1,1,1,0,0,0,1,0,1,0,0
2026-08-31T18:53:46.807+00:00,39.04440667400195,1,1,1,1,0,0,0,1,10,1,0,0
2026-08-31T18:53:49.876+00:00,42.11379879400192,1,1,1,1,0,0,0,1,14,1,0,0
2026-08-31T18:53:55.138+00:00,47.376928574001795,1,1,1,1,0,0,0,1,6,1,0,0
2026-08-31T18:54:00.074+00:00,52.31290948300011,1,2,1,1,0,0,0,1,0,0,0,0
2026-08-31T18:54:04.989+00:00,57.22782873300093,1,2,2,2,0,0,0,1,6,1,0,0
2026-08-31T18:54:09.849+00:00,62.087891680999746,1,2,2,2,0,0,0,1,12,1,0,1
2026-08-31T18:54:14.885+00:00,67.12422060899917,1,2,2,2,0,0,0,1,8,1,0,0
2026-08-31T18:54:21.506+00:00,73.74520217499958,1,2,2,2,0,0,0,1,14,1,0,0
2026-08-31T18:54:24.906+00:00,77.14597928100193,1,2,2,2,0,0,0,1,8,1,0,1
2026-08-31T18:54:30.432+00:00,82.67224779800017,1,2,2,2,0,0,0,1,6,1,0,1
2026-08-31T18:54:34.856+00:00,87.09651118599868,1,2,2,2,0,0,0,1,0,0,0,1
2026-08-31T18:54:42.230+00:00,94.47063874100058,1,2,2,2,0,0,0,1,0,1,1,0
2026-08-31T18:54:47.359+00:00,99.59931126200172,1,2,2,2,0,0,0,1,0,1,0,0
2026-08-31T18:54:49.756+00:00,101.99639955499879,1,2,2,2,0,0,0,1,0,0,0,0
2026-08-31T18:54:56.421+00:00,108.66331857800105,1,2,2,2,0,0,0,1,0,1,0,0
2026-08-31T18:54:59.768+00:00,112.01023125000211,1,1,2,1,0,0,0,1,0,0,4,2
2026-08-31T18:55:04.807+00:00,117.0487575219995,1,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T18:55:10.019+00:00,122.2606103620019,1,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T18:55:14.837+00:00,127.07908550000138,1,2,1,1,0,0,0,1,8,1,0,0
2026-08-31T18:55:20.253+00:00,132.4951979590005,1,2,1,1,0,0,0,1,0,0,0,0
2026-08-31T18:55:24.970+00:00,137.2132273569987,1,2,1,1,0,0,0,1,0,1,1,1
2026-08-31T18:55:31.378+00:00,143.62180624900066,1,2,2,2,0,0,0,1,0,0,0,0
2026-08-31T18:55:34.793+00:00,147.03619391300163,1,2,2,2,0,0,0,1,0,0,0,1
2026-08-31T18:55:40.034+00:00,152.2777958959996,1,2,2,2,0,0,0,1,0,0,2,0
2026-08-31T18:55:44.880+00:00,157.12347080200198,1,2,2,2,0,0,0,1,0,1,0,0
2026-08-31T18:55:49.771+00:00,162.01408855800037,1,2,2,2,0,0,0,1,0,0,0,0
2026-08-31T18:55:54.793+00:00,167.03719420400012,1,2,2,2,0,0,0,1,0,0,0,1
2026-08-31T18:55:59.779+00:00,172.0240296359989,1,2,2,2,0,0,0,1,0,1,0,0
2026-08-31T18:56:06.678+00:00,178.92235617000188,1,2,2,2,0,0,0,1,0,1,0,1
2026-08-31T18:56:09.773+00:00,182.0178492060004,1,2,2,2,0,0,0,1,0,0,0,0
2026-08-31T18:56:14.813+00:00,187.05723216600018,1,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T18:56:19.840+00:00,192.08460745200136,1,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T18:56:25.139+00:00,197.38485253700128,1,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T18:56:29.823+00:00,202.06882284400126,1,1,1,1,0,0,0,1,0,2,0,0
