timestamp,elapsed_s,producer_started,desired_replicas,ready_replicas,available_replicas,pending_pods,unschedulable_pods,pod_restarts,all_nodes_ready,input_visible,input_inflight,result_visible,result_inflight
2026-08-31T18:37:14.363+00:00,4.325649114998669,0,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T18:37:17.079+00:00,7.041703798997332,1,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T18:37:22.109+00:00,12.072173608998128,1,1,1,1,0,0,0,1,0,1,2,0
2026-08-31T18:37:27.127+00:00,17.09145415599778,1,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T18:37:32.166+00:00,22.130713627997466,1,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T18:37:37.615+00:00,27.580198110998026,1,1,1,1,0,0,0,1,0,1,0,0
2026-08-31T18:37:42.087+00:00,32.0516297840004,1,1,1,1,0,0,0,1,13,1,0,0
2026-08-31T18:37:48.694+00:00,38.658484007999505,1,1,1,1,0,0,0,1,9,1,0,1
2026-08-31T18:37:52.311+00:00,42.27588983899841,1,1,1,1,0,0,0,1,3,1,2,0
2026-08-31T18:37:57.183+00:00,47.14839921499879,1,1,1,1,0,0,0,1,13,1,2,1
2026-08-31T18:38:02.166+00:00,52.13119596799879,1,2,1,1,0,0,0,1,7,1,1,0
2026-08-31T18:38:07.362+00:00,57.32730994699887,1,2,2,2,0,0,0,1,9,1,0,0
2026-08-31T18:38:12.127+00:00,62.092907627000386,1,2,2,2,0,0,0,1,4,1,0,0
2026-08-31T18:38:17.217+00:00,67.18238907299747,1,2,2,2,0,0,0,1,0,2,0,0
2026-08-31T18:38:23.832+00:00,73.79723544399894,1,2,2,2,0,0,0,1,9,1,0,0
2026-08-31T18:38:27.186+00:00,77.1533143969973,1,2,2,2,0,0,0,1,1,2,0,0
2026-08-31T18:38:32.091+00:00,82.05842405499789,1,2,2,2,0,0,0,1,0,0,0,1
2026-08-31T18:38:37.069+00:00,87.03650468299747,1,2,2,2,0,0,0,1,0,1,1,1
2026-08-31T18:38:42.138+00:00,92.10575091499777,1,2,2,2,0,0,0,1,0,1,0,1
2026-08-31T18:38:47.132+00:00,97.09960659900025,1,2,2,2,0,0,0,1,0,0,1,1
2026-08-31T18:38:52.250+00:00,102.217789721999,1,2,2,2,0,0,0,1,0,0,0,0
2026-08-31T18:38:58.823+00:00,108.79160953300016,1,2,2,2,0,0,0,1,0,0,1,1
2026-08-31T18:39:02.142+00:00,112.11080879299698,1,1,1,1,0,0,0,1,0,0,0,1
2026-08-31T18:39:07.154+00:00,117.12247500000012,1,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T18:39:12.058+00:00,122.02721593399838,1,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T18:39:17.200+00:00,127.16879712399896,1,1,1,1,0,0,0,1,0,1,1,0
2026-08-31T18:39:22.120+00:00,132.0884639729993,1,1,1,1,0,0,0,1,4,1,0,0
2026-08-31T18:39:27.097+00:00,137.0668534269971,1,1,1,1,0,0,0,1,0,1,0,0
2026-08-31T18:39:33.682+00:00,143.65155986899845,1,1,1,1,0,0,0,1,1,1,0,0
2026-08-31T18:39:37.067+00:00,147.03721349999978,1,1,1,1,0,0,0,1,1,2,0,0
2026-08-31T18:39:42.051+00:00,152.02098207499876,1,1,1,1,0,0,0,1,1,1,0,0
2026-08-31T18:39:47.001+00:00,156.97091412499867,1,1,1,1,0,0,0,1,5,1,0,0
2026-08-31T18:39:52.072+00:00,162.04170647099818,1,1,1,1,0,0,0,1,2,1,0,1
2026-08-31T18:39:57.084+00:00,167.0554269159984,1,1,1,1,0,0,0,1,0,0,0,1
2026-08-31T18:40:02.039+00:00,172.01106564299698,1,1,1,1,0,0,0,1,4,1,0,0
2026-08-31T18:40:08.685+00:00,178.6568399989992,1,1,1,1,0,0,0,1,0,1,0,0
2026-08-31T18:40:12.039+00:00,182.01105352299783,1,1,1,1,0,0,0,1,5,1,0,0
2026-08-31T18:40:17.066+00:00,187.03809826799989,1,1,1,1,0,0,0,1,4,1,0,0
2026-08-31T18:40:22.041+00:00,192.01273811499777,1,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T18:40:27.112+00:00,197.0850839349987,1,1,1,1,0,0,0,1,0,0,1,1
2026-08-31T18:40:32.032+00:00,202.00512895799693,1,1,1,1,0,0,0,1,0,0,0,0
