pattern,policy,fraction_at_1_ready,fraction_at_2_ready,fraction_at_3_ready,fraction_at_4_ready
mmpp,hpa,0.2269905866777741,0.14168108710247326,0.15242761433456942,0.47890071188518324
mmpp,keda,0.4659661498243117,0.23215931912083207,0.11745726968263676,0.1844172613722195
poisson,hpa,0.22509181810493806,0.15692946329753468,0.06481052402716024,0.553168194570367
poisson,keda,0.5758557808820991,0.32956970610246816,0.09457451301543277,0.0
