pattern,policy,first_desired_above_one_s,first_ready_above_one_s,desired_to_ready_s
mmpp,hpa,31.708835940000426,44.92181747300128,6.626253944999917
mmpp,keda,38.26997873049913,52.629576847499266,10.425817047998862
poisson,hpa,31.631212317999598,35.053893837997755,9.95196118199965
poisson,keda,74.87689267799942,80.00444984299975,5.196113979000074
