schema_version,experiment_id,job_id,trace_offset_s,producer_sent_at,sqs_sent_at,worker_received_at,processing_started_at,processing_finished_at,result_sent_at,service_cpu_seconds,processing_wall_seconds,pod_name,node_name,digest,receive_count,queue_wait_ms,end_to_end_ms
1,keda-mmpp-202-609b96b1,000000,0.902891,2026-08-31T19:04:21.339+00:00,2026-08-31T19:04:17.613+00:00,2026-08-31T19:04:17.622+00:00,2026-08-31T19:04:17.622+00:00,2026-08-31T19:04:17.890+00:00,2026-08-31T19:04:17.890+00:00,0.126748,0.267169387998365,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,a700f7b39a82a2f185c740d980330d9023ae48df483fa2bc470e4ffd04c78401,1,9.0,277.0
1,keda-mmpp-202-609b96b1,000001,6.365177,2026-08-31T19:04:26.803+00:00,2026-08-31T19:04:23.083+00:00,2026-08-31T19:04:23.089+00:00,2026-08-31T19:04:23.089+00:00,2026-08-31T19:04:23.211+00:00,2026-08-31T19:04:23.211+00:00,0.068745,0.12217162799970538,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,deeb44abc9a986bfca08eb55bd202a113da93947f6bd9dd203628e3b5244c32c,1,6.0,128.0
1,keda-mmpp-202-609b96b1,000002,7.356491,2026-08-31T19:04:27.790+00:00,2026-08-31T19:04:24.066+00:00,2026-08-31T19:04:24.070+00:00,2026-08-31T19:04:24.070+00:00,2026-08-31T19:04:24.108+00:00,2026-08-31T19:04:24.108+00:00,0.037763,0.03782135400069819,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,3f022929aa777888f52d8b2f714c48b1f3489e98c33be1993505a9db73a4e6bc,1,4.0,42.0
1,keda-mmpp-202-609b96b1,000003,8.739425,2026-08-31T19:04:29.173+00:00,2026-08-31T19:04:25.450+00:00,2026-08-31T19:04:25.459+00:00,2026-08-31T19:04:25.459+00:00,2026-08-31T19:04:26.676+00:00,2026-08-31T19:04:26.676+00:00,0.501484,1.2174063849997765,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,5b8b874e47192e74687ddf240ec63cec3bac1678d86fd37ea28a4bec33a12ef3,1,9.0,1226.0
1,keda-mmpp-202-609b96b1,000006,9.378123,2026-08-31T19:04:29.811+00:00,2026-08-31T19:04:26.086+00:00,2026-08-31T19:04:26.697+00:00,2026-08-31T19:04:26.697+00:00,2026-08-31T19:04:27.908+00:00,2026-08-31T19:04:27.908+00:00,0.507517,1.2105810049997672,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,7612241cadae2a645da91e930fc5bcc51e9db5693d0bfea71701d2234eb96d7f,1,611.0,1822.0
1,keda-mmpp-202-609b96b1,000004,8.776645,2026-08-31T19:04:29.209+00:00,2026-08-31T19:04:25.485+00:00,2026-08-31T19:04:27.936+00:00,2026-08-31T19:04:27.936+00:00,2026-08-31T19:04:27.980+00:00,2026-08-31T19:04:27.980+00:00,0.008201,0.04431761100022413,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,196595a4e6cde23ca13ceeb2f1baf38484818d660e5d24530192111770e0ecee,1,2451.0,2495.0
1,keda-mmpp-202-609b96b1,000005,9.289639,2026-08-31T19:04:29.723+00:00,2026-08-31T19:04:25.997+00:00,2026-08-31T19:04:28.008+00:00,2026-08-31T19:04:28.008+00:00,2026-08-31T19:04:28.610+00:00,2026-08-31T19:04:28.610+00:00,0.265766,0.60125625100045,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,5b70a3f1e53f496bab91de524b4832f01413f2708d73ee6b5c10153d0c21c229,1,2011.0000000000002,2613.0
1,keda-mmpp-202-609b96b1,000007,9.498008,2026-08-31T19:04:29.931+00:00,2026-08-31T19:04:26.209+00:00,2026-08-31T19:04:28.647+00:00,2026-08-31T19:04:28.647+00:00,2026-08-31T19:04:28.695+00:00,2026-08-31T19:04:28.695+00:00,0.021367,0.04817116199956217,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,67c563920b5414e663286342631e4a3635e8a3ede7e1e2de6459122f956baef8,1,2438.0,2486.0
1,keda-mmpp-202-609b96b1,000008,13.872185,2026-08-31T19:04:34.308+00:00,2026-08-31T19:04:30.582+00:00,2026-08-31T19:04:30.585+00:00,2026-08-31T19:04:30.585+00:00,2026-08-31T19:04:30.890+00:00,2026-08-31T19:04:30.890+00:00,0.063519,0.30506388300091203,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,e7b5a8b21bfa64f9f96cefd375437bf013850b4b7dd4d77a1b1260ff880c0fb9,1,3.0,308.0
1,keda-mmpp-202-609b96b1,000011,14.088036,2026-08-31T19:04:34.521+00:00,2026-08-31T19:04:30.790+00:00,2026-08-31T19:04:30.908+00:00,2026-08-31T19:04:30.908+00:00,2026-08-31T19:04:31.102+00:00,2026-08-31T19:04:31.102+00:00,0.039952,0.19385613699887472,sqs-worker-5986dcd897-x8rdl,ip-192-168-20-201.ec2.internal,71e69454793d5dc88a08311fbbdeaddbbe64627c38925b4a496a19b89b9d1a58,1,118.0,312.0
