job_id,trace_offset_s,producer_sent_at,schedule_lag_s,api_seconds,sqs_message_id
000000,0.902891,2026-08-31T19:08:50.218+00:00,0.0005769259987573605,0.14952711400110275,1ea88825-7916-4538-ac89-5c602e94627c
000001,6.365177,2026-08-31T19:08:55.684+00:00,0.005616594000457553,0.14393260600263602,a18bf6a6-f6ee-47c7-8c25-68fcae11a09a
000002,7.356491,2026-08-31T19:08:56.670+00:00,0.0011090680018241983,0.144703355999809,29f8559c-b9b7-49a5-900c-d70f6e20d259
000003,8.739425,2026-08-31T19:08:58.054+00:00,0.0015858040023886133,0.14450029599902336,38c9b7f1-8be4-4b10-a9c5-240a0a3574e2
000004,8.776645,2026-08-31T19:08:58.090+00:00,0.000367993998224847,0.1443249950025347,968f64e6-46e7-4493-ad5a-178ce8c6ee85
000005,9.289639,2026-08-31T19:08:58.603+00:00,0.000664523002342321,0.14507768499970553,d882cbca-4086-4036-95ea-e077de2b4d22
000006,9.378123,2026-08-31T19:08:58.691+00:00,0.00038208800106076524,0.14291860400044243,dfe65f31-6564-43d9-9795-3af9477134f9
000007,9.498008,2026-08-31T19:08:58.811+00:00,0.0002591560041764751,0.14443435899738688,44f80449-e657-4e77-8d55-9acd4e5fdbde
000008,13.872185,2026-08-31T19:09:03.188+00:00,0.003070942002523225,0.1513112619977619,48e986bb-45a8-4d9f-9379-a2d7d1dac788
000009,13.883114,2026-08-31T19:09:03.196+00:00,0.00014427900168811902,0.14528831799907493,1cc38219-2804-4455-986e-f943fa89f6ee
000010,14.000711,2026-08-31T19:09:03.314+00:00,0.0006880410001031123,0.6523320349988353,dd1ec9e8-249b-49d0-85e4-96c53bdad708
000011,14.088036,2026-08-31T19:09:03.401+00:00,0.00027775100170401856,0.14832249199753278,3b0e69b5-1b31-4adc-b170-f5c596c0f244
000012,14.093887,2026-08-31T19:09:03.407+00:00,0.0001487480003561359,0.14498728600301547,4affa13a-ef8d-4c4e-9afc-92a73dc342b1
000013,14.548478,2026-08-31T19:09:03.862+00:00,0.0006651219991908874,0.14540336900245165,13adaac2-f140-4c8c-bf29-7868e5248dbe
000014,15.194731,2026-08-31T19:09:04.508+00:00,0.0005208980001043528,0.1444853510001849,34ec4976-438e-4e01-bd9f-80a99125eb5f
000015,15.831569,2026-08-31T19:09:05.146+00:00,0.0010967989983328152,0.1531663310015574,7b485d44-8b04-4052-a0d1-b6d7056ec589
000016,16.186172,2026-08-31T19:09:05.500+00:00,0.0005480110012285877,0.1464846739982022,de31efc3-e59e-4460-97c8-bbf5b4155e43
000017,16.271397,2026-08-31T19:09:05.585+00:00,0.0002833280013874173,0.15983199999755016,7eb700ea-8f49-4f53-a678-46d19a008451
000018,16.342231,2026-08-31T19:09:05.655+00:00,0.0002040430008491967,0.14623152800049866,f058d73e-2dd5-4a82-8279-6f2fcbe94f9c
000019,16.47984,2026-08-31T19:09:05.793+00:00,0.0003239760008000303,0.1478854400011187,56a4406e-2c14-43b2-89ec-1ff473f4d3a5
000020,16.823514,2026-08-31T19:09:06.137+00:00,0.0005668949997925665,0.14126178600054118,e6588835-e366-4a9a-a566-56a10ea2220b
000021,16.870187,2026-08-31T19:09:06.183+00:00,0.0002664070016180631,0.14272849400003906,b65cc23f-31fc-4838-8b4f-a9765d0ca517
000022,16.892732,2026-08-31T19:09:06.206+00:00,0.0002456840011291206,0.14339186000142945,903cae4b-575c-4855-be75-20cfb22d52e4
