timestamp,elapsed_s,producer_started,desired_replicas,ready_replicas,available_replicas,pending_pods,unschedulable_pods,pod_restarts,all_nodes_ready,input_visible,input_inflight,result_visible,result_inflight
2026-08-31T19:08:48.174+00:00,4.11808743399888,0,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T19:08:51.123+00:00,7.06639509100205,1,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T19:08:56.590+00:00,12.53527632999976,1,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T19:09:01.060+00:00,17.005572660000325,1,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T19:09:06.153+00:00,22.098714446001395,1,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T19:09:11.197+00:00,27.142675781000435,1,1,1,1,0,0,0,1,2,1,0,0
2026-08-31T19:09:16.131+00:00,32.07621009600189,1,1,1,1,0,0,0,1,0,0,0,0
2026-08-31T19:09:22.870+00:00,38.815638840002066,1,2,1,1,1,0,0,1,27,1,0,0
2026-08-31T19:09:26.108+00:00,42.05556363800133,1,2,1,1,0,0,0,1,0,0,0,0
2026-08-31T19:09:31.111+00:00,47.057978834000096,1,2,1,1,0,0,0,1,10,2,0,0
2026-08-31T19:09:36.255+00:00,52.20229375700001,1,4,2,2,2,0,0,1,26,2,4,1
2026-08-31T19:09:41.222+00:00,57.169399352002074,1,4,4,4,0,0,0,1,0,2,0,0
2026-08-31T19:09:46.239+00:00,62.18649088999882,1,4,4,4,0,0,0,1,32,2,0,0
2026-08-31T19:09:51.195+00:00,67.14260406900212,1,4,4,4,0,0,0,1,0,0,0,0
2026-08-31T19:09:57.789+00:00,73.73823209300099,1,4,4,4,0,0,0,1,0,0,0,0
2026-08-31T19:10:01.272+00:00,77.22135145900029,1,4,4,4,0,0,0,1,0,2,0,0
2026-08-31T19:10:06.343+00:00,82.29202939199968,1,4,4,4,0,0,0,1,0,0,0,0
2026-08-31T19:10:11.203+00:00,87.15209659299944,1,4,4,4,0,0,0,1,0,0,4,3
2026-08-31T19:10:16.250+00:00,92.19933075800145,1,4,4,4,0,0,0,1,0,2,0,0
2026-08-31T19:10:21.297+00:00,97.2468998660006,1,4,4,4,0,0,0,1,0,0,4,1
2026-08-31T19:10:26.199+00:00,102.149628621999,1,4,4,4,0,0,0,1,0,0,0,0
2026-08-31T19:10:32.845+00:00,108.79494829300165,1,4,4,4,0,0,0,1,0,2,0,1
2026-08-31T19:10:36.242+00:00,112.19273007300217,1,4,4,4,0,0,0,1,0,0,0,0
2026-08-31T19:10:41.256+00:00,117.20674433900058,1,4,4,4,0,0,0,1,0,1,0,0
2026-08-31T19:10:46.279+00:00,122.22909152799912,1,4,4,4,0,0,0,1,0,0,2,1
2026-08-31T19:10:51.286+00:00,127.23593682700084,1,4,4,4,0,0,0,1,0,0,4,3
2026-08-31T19:10:56.224+00:00,132.1764414140016,1,4,4,4,0,0,0,1,0,2,4,3
2026-08-31T19:11:01.195+00:00,137.14736859700133,1,4,4,4,0,0,0,1,0,2,0,0
2026-08-31T19:11:07.956+00:00,143.90857187599977,1,4,4,4,0,0,0,1,0,0,6,0
2026-08-31T19:11:11.245+00:00,147.196584420999,1,4,4,4,0,0,0,1,0,1,4,3
2026-08-31T19:11:16.333+00:00,152.28458404400226,1,4,4,4,0,0,0,1,0,0,0,0
2026-08-31T19:11:21.829+00:00,157.78105599400078,1,4,4,4,0,0,0,1,0,0,0,0
2026-08-31T19:11:26.250+00:00,162.20298544300022,1,4,4,4,0,0,0,1,0,1,0,0
2026-08-31T19:11:31.378+00:00,167.33156731000054,1,4,4,4,0,0,0,1,0,0,3,2
